3345,Dr. Frankenstein on Campus,https://image.tmdb.org/t/p/w500//tDhBWqp7bmcLV8rQQlpkO7ZtiRq.jpg,https://image.tmdb.org/t/p/original/,"Viktor Frankenstein, expelled from Ingoldstat U for doing weird experiments and for acting a bit looney, goes to college in Canada to study brain control under Prof. Preston. Campus radicals frame Viktor (photographed holding a joint) in an attempt to discredit both Preston and the Dean and Viktor is once again expelled. Vik injects Tae Kwan Do expert Tony with his new brain control pellets and soon Tony becomes an instrument of revenge, beating radicals to death, drowning the photographer in a developing tray, and karate-chopping a reporter in the throat to name a few. But why won't Viktor remove his clothes when doing his often naked girlfriend and who is the ""real Frankenstein""?",1970-04-10,83,tagline,7
3346,Frankestein el vampiro y compañía,https://image.tmdb.org/t/p/w500/,https://image.tmdb.org/t/p/original//hExLgR65ec6pEdtad3Spez49HZx.jpg,"Two screwballs get mixed up with monsters, mad scientists and vampires.",1962-02-08,76,tagline,4
3349,Frankenstein & the Werewolf Reborn!,https://image.tmdb.org/t/p/w500//hL1rOLFYoqoa8wppzrfliy8IOZN.jpg,https://image.tmdb.org/t/p/original/,Edited versions of both Frankenstein Reborn. and The Werewolf Reborn!.,2000-01-01,92,tagline,4
3350,Frankenstein Reborn!,https://image.tmdb.org/t/p/w500//hVryDwkgsUyJaXrV3fMOtrLmcex.jpg,https://image.tmdb.org/t/p/original/,"Thirteen-year-old Anna is intrigued by the secret experiments of her eccentric uncle Victor, but her curiosity soon turns to total terror when she's confronted by Uncle Victor's latest creation - a hideous-looking monster with the soul of a man, stitched together and reanimated from the bodies of the dead.",1998-01-01,46,tagline,4
3406,O Frankenstein de Moisés Neto - Versão Muda,https://image.tmdb.org/t/p/w500/,https://image.tmdb.org/t/p/original/,overview,1989-06-22,40,tagline,0
3408,Boy Frankenstein,https://image.tmdb.org/t/p/w500/,https://image.tmdb.org/t/p/original/,Experimental short dealing with the subject of F to M Transexuals.,1998-01-01,9,tagline,7
3409,El Vampiro de la autopista,https://image.tmdb.org/t/p/w500//pnnAN6vcRGyl52ywsP6Bp3nfety.jpg,https://image.tmdb.org/t/p/original/,"Some kind of sadist, but not human, is murdering people. A doctor is convinced that the killings are the evil workings of a reclusive odd baron who died many years ago.",1970-01-01,90,tagline,4
3412,Ritorno dalla morte,https://image.tmdb.org/t/p/w500//6zZKpFuzfO8ELyovhlHpVPNxQgK.jpg,https://image.tmdb.org/t/p/original//zgngWYj9kydOTP3bE1MZIi1YIq4.jpg,"When a woman is beaten into a coma and saved from being raped by her handyman (Donald O'Brien), the local security force does a cover-up to save the town's reputation and frames the saviour. After he hangs himself, the woman's strange comatose psi-powers revive him from the dead to exact revenge.",1991-01-01,93,tagline,3
3413,"Orlak, el infierno de Frankenstein",https://image.tmdb.org/t/p/w500//2nYgaEAxYGiYnIZKuTpTikN5H5a.jpg,https://image.tmdb.org/t/p/original/,A mad scientist creates a remote-controlled monster and sends it to terrorize the city.,1960-01-01,103,tagline,5
3414,El último Frankenstein,https://image.tmdb.org/t/p/w500/,https://image.tmdb.org/t/p/original/,No overview found.,2004-01-01,17,tagline,0
3416,Il Mostro di Frankenstein,https://image.tmdb.org/t/p/w500//xrVaRlKSvfN2E5aJwfx5M5xUi8J.jpg,https://image.tmdb.org/t/p/original/,"The last silent Frankenstein film. While there is plenty of promotional material proving this film was shown internationally, there is currently no known film print and it is believed lost.",1921-01-01,39,tagline,8
3561,L'osceno desiderio,https://image.tmdb.org/t/p/w500//nK75c3mFVyjyHXoJhvFJZZCPG6m.jpg,https://image.tmdb.org/t/p/original/,"Amanda, a beautiful American girl is soon to be married to Andrea Orsomandi, a wealthy nobleman who lives in an extravagant Gothic mansion. However there exists something dark, sinister and supernatural within the walls of the mansion. It seems that Andrea has been driven to madness and is a victim of the evil contained within the house. It soon transpires that he is involved in black magic, perverse rituals and serial killings with the aid of his sadistic henchman and gardener Giovanni. Killing prostitutes in order to exorcise this Evil. Now the demonic forces set out to possess Amanda,take her soul and turn her into another victim of the mansion.",1978-12-04,100,tagline,5
3575,The Return of Doctor X,https://image.tmdb.org/t/p/w500//abAV5kSKWpwmSplzDmgjrvgdUys.jpg,https://image.tmdb.org/t/p/original//pJ46SoFJOPUJ47NKDaqfVII0wnw.jpg,"Dr. Francis Flegg , a specialist in blood disease and research, has been assisted in recent months by a mysterious fellow named Marshall Quesne who is extremely pale, with a streak of white hair. Newspaperman Garrett following the disappearance of an actress, whom he claims he saw was dead, turns up alive again, making Garrett look foolish. But he slowly becomes suspicious of Quesne and Flegg.",1939-11-23,62,HE ROSE FROM THE DEAD...TO HAUNT THE LIVING!!!,6
