768,From Hell,https://image.tmdb.org/t/p/w500//t2WpWM8nBO4sULXr2bDfNEt4qgr.jpg,https://image.tmdb.org/t/p/original//xo2S7gRwCvWdVqM0Swv37yA2rzw.jpg,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,2001-02-08,122,Only the legend will survive.,6,en,,,
3210,The Projected Man,https://image.tmdb.org/t/p/w500//61thpIZL06dQig8uZZtPQuIEeNe.jpg,https://image.tmdb.org/t/p/original//k05eAsMK9XRp6rTH3wXKCW1fx1m.jpg,Matter-transmitter sabotage leaves a British scientist (Bryant Halliday) disfigured and full of amps.,1966-01-01,77,Horror of Horrors!,4,en,,,
779,Vampyr - Der Traum des Allan Grey,https://image.tmdb.org/t/p/w500//m7BKgeW06cgW5512wukfGhLsWGL.jpg,https://image.tmdb.org/t/p/original//rg3hBiQbDet8uNQkgfbpk7306p8.jpg,"Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart.",1932-05-06,74,tagline,7,de,Vampires,,
790,The Fog,https://image.tmdb.org/t/p/w500//gZmdq8HB8SBdOHk5XarjCZIiGGk.jpg,https://image.tmdb.org/t/p/original//ezxy4ncmiQEJdtlcHMak1KUhHtA.jpg,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.",1980-02-08,89,Lock your doors. Bolt your windows. There's something in THE FOG!,6,en,,,
794,The Omen,https://image.tmdb.org/t/p/w500//p0LcWxOIoBx0MEZMn8tFcrvDXR1.jpg,https://image.tmdb.org/t/p/original//lOshblIfomMbZClGRZ83lSU8bN7.jpg,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.",1976-06-06,111,It is the greatest mystery of all because no human being will ever solve it.,7,en,,,
805,Rosemary's Baby,https://image.tmdb.org/t/p/w500//s8pdaHjxNPLXIA1WjSTWm00RJTz.jpg,https://image.tmdb.org/t/p/original//o3u8EkZHoXz8xqU1dprpmCkhzSG.jpg,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.",1968-06-12,138,It's not what you're expecting,7,en,Psychological,,
814,An American Werewolf in London,https://image.tmdb.org/t/p/w500//hN333m776qWYnbjTTcykwClYNgx.jpg,https://image.tmdb.org/t/p/original//4js6VLf6qHWUbW42BpXiQKPBP7t.jpg,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,1981-08-21,97,Beware the Moon.,7,en,Werewolves,,
827,Les Diaboliques,https://image.tmdb.org/t/p/w500//pNcwhz3Eyfn3KQ2XykTozbARMpr.jpg,https://image.tmdb.org/t/p/original//oMpX8thZFDVZNS4j240HYSMMvyg.jpg,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.",1955-01-29,117,"See it, be amazed at it, but... BE QUIET ABOUT IT!",7,fr,,,
831,This Island Earth,https://image.tmdb.org/t/p/w500//2viRDpHmhzQoreZok2auLjkVbSE.jpg,https://image.tmdb.org/t/p/original//inQQLXDOkb3jwDqNqHF8Lnel6yU.jpg,"Aliens have landed and are hiding on Earth, but need Earth’s scientists to help them fight an inter-planetary war.",1955-06-01,87,tagline,6,en,,,
837,Videodrome,https://image.tmdb.org/t/p/w500//w5bqL9IiGIH0g4oq7ExFEq4KSl4.jpg,https://image.tmdb.org/t/p/original//kIQszOniJOd1ULFUfdk4yDR0W5c.jpg,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.",1983-02-04,88,First it controls your mind. Then it destroys your body.,7,en,Technology,,
919,Blood: The Last Vampire,https://image.tmdb.org/t/p/w500//uRwR5lcl55n5JSaTiYPwp5KjP6A.jpg,https://image.tmdb.org/t/p/original//17s9ojb8j8QnBGCfqDUJraXLlFi.jpg,"In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demon.",2000-11-18,48,tagline,6,ja,,,
923,Dawn of the Dead,https://image.tmdb.org/t/p/w500//9kGESwH451kRgm1h6Q0svAVK60N.jpg,https://image.tmdb.org/t/p/original//9OKzKuCfcMwpHVp56pjNI7J4xXR.jpg,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",1978-09-02,127,"When there’s no more room in hell, the dead will walk the earth.",7,en,Zombies,,
